OlyName	WBName
United Republic of Tanzania	Tanzania
Palestine	****
Former Yugoslav Republic of Macedonia	Macedonia, FYR
St Vincent and the Grenadines	St. Vincent and the Grenadines
Virgin Islands, British	****
People's Republic of China	China
Yemen	Yemen, Rep.
Democratic Republic of Timor-Leste	Timor-Leste
Côte d'Ivoire	Cote d'Ivoire
Virgin Islands, US	Virgin Islands (U.S.)
Saint Lucia	St. Lucia
Independent Olympic Athletes	****
Slovakia	Slovak Republic
Nauru	****
Cook Islands	****
Democratic People's Republic  of Korea	Korea, Dem. Rep.
Federated States of Micronesia	Micronesia, Fed. Sts.
United States of America	United States
Saint Kitts and Nevis	St. Kitts and Nevis
Republic of Moldova	Moldova
Cape Verde	Cabo Verde
Bahamas	Bahamas, The
Great Britain	United Kingdom
Lao People's Democratic Republic	Lao PDR
Gambia	Gambia, The
Taipei (Chinese Taipei)	****
Republic of Korea	Korea, Rep.
Democratic Republic of the Congo	Congo, Dem. Rep.
Venezuela	Venezuela, RB
Islamic Republic of Iran	Iran, Islamic Rep.
Kyrgyzstan	Kyrgyz Republic	
Hong Kong, China	Hong Kong SAR, China
Egypt	Egypt, Arab Rep.
Congo	Congo, Rep.
