Country	CountryCode	Population	totalAthletes	totalMedals	medalsAthlRatio	medalsPopRatio	medalsLogPopRatio	athlPopRatio	athlLogPopRatio
Afghanistan	AFG	29824536	6	1	0.166666666666667	3.35294403238998e-08	0.133786894169414	2.01176641943399e-07	0.802721365016486
Albania	ALB	3162083	10	0	0	0	0	3.16247233232018e-06	1.53846786621932
Algeria	DZA	38481705	37	1	0.027027027027027	2.59863745642247e-08	0.131834736142201	9.61495858876315e-07	4.87788523726145
American Samoa	ASM	55128	5	0	0	0	0	9.06980118995792e-05	1.05454702777399
Andorra	ADO	78360	4	0	0	0	0	5.10464522715671e-05	0.817311569974793
Angola	AGO	20820525	33	0	0	0	0	1.58497444228712e-06	4.50912584993692
Antigua and Barbuda	ATG	89069	4	0	0	0	0	4.4909003132403e-05	0.808125446577931
Argentina	ARG	41086927	137	3	0.0218978102189781	7.30159254791676e-08	0.394026367953684	3.33439393021532e-06	17.9938708032183
Armenia	ARM	2969081	25	2	0.08	6.73609106656235e-07	0.308993787346503	8.42011383320293e-06	3.86242234183128
Aruba	ABW	102384	4	0	0	0	0	3.90686044694484e-05	0.798366208569113
Australia	AUS	22722000	401	30.738	0.0766533665835411	1.35278584631635e-06	4.17837603632154	1.7648094357891e-05	54.5100133569177
Austria	AUT	8429991	70	0	0	0	0	8.30368620796867e-06	10.1070960736483
Azerbaijan	AZE	9295784	52	7	0.134615384615385	7.53029545436942e-07	1.00455118750045	5.593933766103e-06	7.46238025000335
Bahamas, The	BHS	371960	23	0	0	0	0	6.18346058715991e-05	4.12889606473644
Bahrain	BHR	1317827	12	0	0	0	0	9.10589933276523e-06	1.96082968154218
Bangladesh	BGD	154695368	5	0	0	0	0	3.23215883231875e-08	0.610539575454167
Barbados	BRB	283221	6	0	0	0	0	2.11848697660131e-05	1.10048825049485
Belarus	BLR	9464000	159	11.0000001	0.0691823905660377	1.16229924978867e-06	1.57681798478179	1.68005071851226e-05	22.7921870273714
Belgium	BEL	11128246	114	3	0.0263157894736842	2.69584263324157e-07	0.425747704509846	1.0244202006318e-05	16.1784127713741
Belize	BLZ	324060	3	0	0	0	0	9.25754489909276e-06	0.544402815865362
Benin	BEN	10050702	5	0	0	0	0	4.97477688623143e-07	0.714061662495761
Bermuda	BMU	64806	8	0	0	0	0	0.000123445359997531	1.66264334118637
Bhutan	BTN	741822	2	0	0	0	0	2.69606455456969e-06	0.340698107280257
Bolivia	BOL	10496285	4	0	0	0	0	3.81087213237827e-07	0.569716523274802
Bosnia and Herzegovina	BIH	3833916	6	0	0	0	0	1.56497951441816e-06	0.911349593313933
Botswana	BWA	2003910	4	2	0.5	9.9804881456752e-07	0.317365701550448	1.99609762913504e-06	0.634731403100897
Brazil	BRA	198656019	245	11.99999999	0.0489795917959184	6.04059220073266e-08	1.44611386835062	1.23328757534399e-06	29.5248248367626
Brunei Darussalam	BRN	412238	3	0	0	0	0	7.27734949228358e-06	0.534269085695666
Bulgaria	BGR	7305888	60	2	0.0333333333333333	2.73751801286852e-07	0.291389172683893	8.21255403860557e-06	8.74167518051679
Burkina Faso	BFA	16460141	5	0	0	0	0	3.03764105058395e-07	0.69286302777942
Burundi	BDI	9849569	5	0	0	0	0	5.07636425512629e-07	0.714958058091712
Cabo Verde	CPV	494401	3	0	0	0	0	6.06794889168913e-06	0.526863048545573
Cambodia	KHM	14864646	6	0	0	0	0	4.03642306718909e-07	0.836568696423817
Cameroon	CMR	21699631	37	0	0	0	0	1.70509811894958e-06	5.04330952359582
Canada	CAN	34754312	274	16.978	0.061963503649635	4.88514921544124e-07	2.25142294424417	7.88391380039403e-06	36.3346617223998
Cayman Islands	CYM	57570	5	0	0	0	0	8.68507903421921e-05	1.0503768666218
Central African Republic	CAF	4525209	6	0	0	0	0	1.32590561010552e-06	0.901491250133858
Chad	TCD	12448175	3	0	0	0	0	2.40999182611106e-07	0.422826682665178
Chile	CHL	17464814	33	0	0	0	0	1.88951339533304e-06	4.55664911213505
China	CHN	1350695000	348	80.49	0.231293103448276	5.95915436127327e-08	8.81545314531796	2.57645138243645e-07	38.1137743144571
Colombia	COL	47704427	106	6	0.0566037735849057	1.25774490489111e-07	0.781396645796793	2.22201599864096e-06	13.8046740757434
Comoros	COM	717503	3	0	0	0	0	4.18116718675741e-06	0.512310503662252
Congo, Dem. Rep.	ZAR	65705093	4	0	0	0	0	6.08780813992608e-08	0.511666047648301
Congo, Rep.	COG	4337051	7	0	0	0	0	1.61399992760057e-06	1.05466247362487
Costa Rica	CRI	4805295	11	0	0	0	0	2.28914145749637e-06	1.64628268026764
Cote d'Ivoire	CIV	19839750	10	0	0	0	0	5.04038609357477e-07	1.3703255088216
Croatia	HRV	4267600	102	5.000000001	0.0490196078529412	1.17161870864186e-06	0.754126917498644	2.39010216515137e-05	15.3841891138955
Cuba	CUB	11270957	106	11	0.10377358490566	9.7595971664163e-07	1.55984985212492	9.40470272400116e-06	15.0312803932038
Cyprus	CYP	1128994	12	1	0.0833333333333333	8.85744299792559e-07	0.165215752013729	1.06289315975107e-05	1.98258902416475
Czech Republic	CZE	10510785	131	9	0.0687022900763359	8.56263352356651e-07	1.28175272630894	1.24633887954135e-05	18.6566230162745
Denmark	DNK	5591572	112	9	0.0803571428571429	1.60956525284839e-06	1.33382063799026	2.003014536878e-05	16.5986568283233
Djibouti	DJI	859652	4	0	0	0	0	4.65304565103088e-06	0.674044910784718
Dominica	DMA	71684	2	0	0	0	0	2.7900228781876e-05	0.411910623789717
Dominican Republic	DOM	10276621	33	2	0.0606060606060606	1.94616498944546e-07	0.285231415815753	3.21117223258501e-06	4.70631836095993
Ecuador	ECU	15492264	35	0	0	0	0	2.25919207160425e-06	4.86779426196998
Egypt, Arab Rep.	EGY	80721874	117	2	0.0170940170940171	2.47764317265479e-08	0.252940712892891	1.44942125600305e-06	14.7970317042341
El Salvador	SLV	6297394	10	0	0	0	0	1.58795844757371e-06	1.47076973130035
Equatorial Guinea	GNQ	736296	1	0	0	0	0	1.35814943989917e-06	0.170443337609983
Eritrea	ERI	6130922	11	0	0	0	0	1.7941836480712e-06	1.6206199930396
Estonia	EST	1329301	30	2	0.0666666666666667	1.50455013574804e-06	0.326604020486521	2.25682520362205e-05	4.89906030729781
Ethiopia	ETH	91728849	33	4	0.121212121212121	4.36067828562855e-08	0.502354413056914	3.59755958564355e-07	4.14442390771954
Fiji	FJI	874742	9	0	0	0	0	1.02887479965521e-05	1.51467212924852
Finland	FIN	5413971	53	1	0.0188679245283019	1.84707306337622e-07	0.148510824228819	9.78948723589395e-06	7.87107368412741
France	FRA	65696689	329	28.74	0.087355623100304	4.37464968744467e-07	3.6763466765027	5.00786272501495e-06	42.0848314742306
Gabon	GAB	1632572	28	1	0.0357142857142857	6.12530412134962e-07	0.160956147926149	1.7150851539779e-05	4.50677214193218
Gambia, The	GMB	1791225	2	0	0	0	0	1.11655431338888e-06	0.319838793979537
Georgia	GEO	4490700	30	3	0.1	6.68047297748681e-07	0.450970892318121	6.68047297748681e-06	4.50970892318121
Germany	DEU	80425823	385	39.269	0.101997402597403	4.88263576737039e-07	4.96736689919166	4.78701971131834e-06	48.7009156380043
Ghana	GHA	25366462	8	0	0	0	0	3.15377051793821e-07	1.0804591019496
Greece	GRC	11092771	103	2	0.0194174757281553	1.80297601023225e-07	0.283887669413212	9.28532645269608e-06	14.6202149747804
Grenada	GRD	105483	10	1	0.1	9.48020060104472e-06	0.199076980658434	9.48020060104472e-05	1.99076980658434
Guam	GUM	162810	8	0	0	0	0	4.91370308949082e-05	1.53501334461564
Guatemala	GTM	15082831	17	1	0.0588235294117647	6.63005506061826e-08	0.139305201227174	1.1271093603051e-06	2.36818842086196
Guinea	GIN	11451273	4	0	0	0	0	3.49306142644578e-07	0.566664239155457
Guinea-Bissau	GNB	1663558	4	0	0	0	0	2.40448484513314e-06	0.642979521098512
Guyana	GUY	795369	5	0	0	0	0	6.28639034209279e-06	0.84737595442701
Haiti	HTI	10173775	5	0	0	0	0	4.91459659762478e-07	0.713523046963607
Honduras	HND	7935846	30	0	0	0	0	3.78031529341673e-06	4.34808241493784
Hong Kong SAR, China	HKG	7154600	39	1	0.0256410256410256	1.39770217761999e-07	0.145887744880674	5.45103849271797e-06	5.68962205034629
Hungary	HUN	9920362	144	15	0.104166666666667	1.51204159686915e-06	2.14392067448932	1.45155993299438e-05	20.5816384750975
Iceland	ISL	320716	25	0	0	0	0	7.79505855647988e-05	4.54040179917312
India	IND	1236686732	79	4	0.0506329113924051	3.23444886768624e-09	0.43993464016196	6.38803651368033e-08	8.6887091431987
Indonesia	IDN	246864191	20	2	0.1	8.10162053839554e-09	0.238309202943191	8.10162053839554e-08	2.38309202943191
Iran, Islamic Rep.	IRN	76424443	43	8	0.186046511627907	1.04678551598996e-07	1.01481216253119	5.62647214844602e-07	5.45461537360515
Iraq	IRQ	32578209	8	0	0	0	0	2.45562915997009e-07	1.06483129432579
Ireland	IRL	4586897	63	3	0.0476190476190476	6.54036923000451e-07	0.450347736812726	1.37347753830095e-05	9.45730247306725
Israel	ISR	7910500	34	0	0	0	0	4.29808482396814e-06	4.928819200041
Italy	ITA	59539717	278	27.969998997	0.100611507183453	4.69770439066749e-07	3.59751693368231	4.66915218962159e-06	35.7565156749184
Jamaica	JAM	2707805	48	9	0.1875	3.32372530518261e-06	1.3991194346205	1.77265349609739e-05	7.46197031797599
Japan	JPN	127561489	296	33.97	0.114763513513514	2.66302943516127e-07	4.19086790069507	2.32044955198038e-06	36.5174241567778
Jordan	JOR	6318000	9	0	0	0	0	1.42450142450142e-06	1.32341660576329
